match,quarter,frame_index,timestamp_sec,partner,confidence,box_x,box_y,box_w,box_h,frame_w,frame_h,coverage_pct,center_x,center_y
Round3,Q1,165,165.0,EMIRATES,0.7477,963.6,221.2,94.1,56.3,1920,1080,0.256,1010.7,249.3
Round3,Q1,167,167.0,EMIRATES,0.923,1059.7,398.6,118.8,39.5,1920,1080,0.226,1119.1,418.4
Round3,Q1,168,168.0,EMIRATES,0.9246,1097.8,454.6,132.9,36.9,1920,1080,0.237,1164.3,473.0
Round3,Q1,169,169.0,EMIRATES,0.931,1140.0,437.6,123.6,35.8,1920,1080,0.213,1201.8,455.5
Round3,Q1,170,170.0,EMIRATES,0.9057,1158.2,358.4,107.8,29.9,1920,1080,0.155,1212.1,373.4
Round3,Q1,171,171.0,EMIRATES,0.9064,1145.7,380.8,91.2,27.9,1920,1080,0.123,1191.3,394.8
Round3,Q1,172,172.0,EMIRATES,0.8828,1133.0,316.1,79.6,23.6,1920,1080,0.091,1172.8,327.9
Round3,Q1,184,184.0,EMIRATES,0.8566,90.7,618.9,284.9,86.7,1920,1080,1.191,233.2,662.3
Round3,Q1,184,184.0,EMIRATES,0.8466,900.7,488.1,104.2,70.0,1920,1080,0.352,952.8,523.1
Round3,Q1,185,185.0,EMIRATES,0.8895,812.5,557.6,59.4,21.0,1920,1080,0.06,842.2,568.1
Round3,Q1,185,185.0,EMIRATES,0.8866,964.2,346.4,49.0,19.8,1920,1080,0.047,988.7,356.3
Round3,Q1,185,185.0,EMIRATES,0.8385,707.4,469.9,39.1,28.7,1920,1080,0.054,727.0,484.3
Round3,Q1,185,185.0,EMIRATES,0.8083,240.2,352.0,47.5,18.1,1920,1080,0.042,264.0,361.0
Round3,Q1,186,186.0,EMIRATES,0.898,132.8,330.7,57.4,19.3,1920,1080,0.053,161.5,340.4
Round3,Q1,186,186.0,EMIRATES,0.8901,919.5,320.3,60.2,17.7,1920,1080,0.051,949.6,329.1
Round3,Q1,186,186.0,EMIRATES,0.8892,480.6,372.4,76.1,25.5,1920,1080,0.093,518.7,385.2
Round3,Q1,186,186.0,EMIRATES,0.8791,1135.7,324.2,57.9,20.7,1920,1080,0.058,1164.7,334.5
